perfume,casual,chic,classic,clear,cool-casual,dandy,dynamic,elegant,gorgeous,modern,natural,pretty,romantic,wild
#003 San Junipero L¡¯envie Parfums L¡¯envie Parfums,1,1,1,1,0,0,1,1,1,1,1,1,1,1
#004 Falling Water L¡¯envie Parfums L¡¯envie Parfums,1,1,1,1,0,0,1,1,1,0,1,1,1,1
#005 Mechanic HUNQ HUNQ,1,1,1,1,0,0,1,1,1,0,1,1,1,1
#1 (For You) Parfum Trouve Miller et Bertaux Miller et Bertaux,0,1,1,0,0,0,0,1,1,1,1,1,1,1
#1 Amber Rouge Dilis Parfum Dilis Parfum,0,1,1,0,0,0,1,1,1,1,1,1,1,1
#2 Spiritus / Land Miller et Bertaux Miller et Bertaux,0,1,1,1,0,0,0,1,0,1,1,1,1,1
#211 Mon Vetiver Narcotique Le Re Noir Le Re Noir,1,1,1,1,1,0,0,0,0,0,1,1,0,0
#240 Santal Gourmande Le Re Noir Le Re Noir,0,1,1,0,0,1,1,1,1,1,1,0,0,0
#251 Chef Est En Vacances Le Re Noir Le Re Noir,1,1,1,0,0,1,1,1,1,0,1,1,1,1
#253 Neuf Le Re Noir Le Re Noir,0,1,1,1,0,0,1,1,1,1,1,0,0,0
#270 Ombre meridienne Le Re Noir Le Re Noir,0,1,1,0,0,0,1,1,1,0,1,0,0,1
#278 Sourire De Cassis Le Re Noir Le Re Noir,1,0,0,0,0,1,1,1,1,0,1,1,0,1
#286 Tarte bizarre Le Re Noir Le Re Noir,0,0,1,1,1,0,0,0,0,0,0,0,0,0
#299 Bois de passion secrete Le Re Noir Le Re Noir,0,1,1,0,0,0,1,1,1,1,1,1,1,1
"#3 Green, Green, Green and... Green Miller et Bertaux Miller et Bertaux",1,1,1,1,0,0,1,1,0,1,1,1,1,1
#3 Pink Pepper Dilis Parfum Dilis Parfum,1,1,1,0,0,1,1,1,1,1,1,1,0,0
#369 Mandarines en blanc Le Re Noir Le Re Noir,1,0,1,1,0,0,1,1,1,0,0,1,1,1
#380 Legalement vert Le Re Noir Le Re Noir,0,1,1,1,0,0,0,0,0,0,1,0,0,0
#384 Fumee sur le lait Le Re Noir Le Re Noir,0,1,1,0,0,0,1,0,1,0,1,0,0,1
#Bon Bon Cherie Faberlic Faberlic,1,0,1,1,0,0,1,1,1,0,1,1,1,1
#Cool Vibes Zara Zara,1,0,1,1,0,0,1,1,0,1,1,1,0,0
#Dopamine Magma Magma,1,1,1,1,0,1,1,1,1,1,1,1,0,0
#Glam Besties Besties,0,1,1,0,0,0,0,1,0,1,1,0,0,0
#Hashtag 27 87 27 87,0,1,1,1,1,0,0,1,1,0,1,1,1,1
#S Nasengold Nasengold,1,1,1,1,1,1,1,1,1,1,1,1,1,1
#Sorbet Jolie Faberlic Faberlic,1,1,1,1,0,0,0,1,1,0,1,1,1,1
#Urbano Noite Natura Natura,1,1,1,1,0,0,1,1,1,1,1,1,1,1
#Waywardpines Magma Magma,1,1,1,1,1,1,1,0,1,0,1,1,1,1
#flowerpower (2023) Ramon Monegal Ramon Monegal,1,1,1,0,0,0,0,1,0,1,1,1,1,1
#flowerpower Ramon Monegal Ramon Monegal,1,1,1,0,0,1,1,1,1,1,1,1,1,0
#gW - Raspberry & Vanilla Yntenzo Yntenzo,1,1,1,1,0,0,1,1,1,1,1,1,1,1
'Ilm Xerjoff Xerjoff,0,1,1,0,0,0,1,1,1,0,1,0,0,1
(homage to) Hemingway Masque Milano Masque Milano,0,1,1,1,1,0,1,1,1,1,1,0,0,1
...& The Pea Bel Rebel Bel Rebel,1,1,1,1,0,1,1,1,1,0,1,1,1,1
.SE Swedish Experience Blazing Warmth Oriflame Oriflame,1,1,1,1,1,0,1,0,1,0,1,1,1,1
.U.M.B.R.E. Adi Ale Van Adi Ale Van,0,1,1,1,1,0,0,1,1,1,1,0,0,1
0 Blood Concept Blood Concept,1,1,1,0,0,0,1,1,1,1,1,1,1,1
000 Le Monde Gourmand Le Monde Gourmand,1,0,0,1,0,0,1,1,0,0,0,1,1,0
001 Somewhere Nowhere Zara Zara,1,0,0,1,0,0,1,1,1,0,0,1,1,1
"001 orange blossom, petitgrain, bergamot Bon Parfumeur Bon Parfumeur",1,0,1,1,1,0,1,1,1,0,0,1,1,1
002 Alexa Lixfeld Alexa Lixfeld,1,1,1,1,0,0,1,1,0,1,1,1,1,1
"002 Neroli, jasmin, ambre blanc Bon Parfumeur Bon Parfumeur",1,0,1,1,0,0,1,1,1,0,0,1,1,1
002 Sense Of Glam Zara Zara,1,0,1,0,0,0,0,1,0,1,1,1,1,0
"003 yuzu feuilles de violette, vetiver Bon Parfumeur Bon Parfumeur",1,1,1,1,1,0,1,1,1,0,1,1,1,1
006 Glittery Mood Zara Zara,1,0,0,0,0,0,0,1,1,0,1,1,1,1
007 Feels Like Summer Zara Zara,1,1,1,0,0,0,0,0,0,0,1,1,0,0
008 This Is Fun Stradivarius Stradivarius,1,0,1,0,0,0,0,1,0,1,1,1,1,0
01 03 Down In One 14 Fragrance Republic Fragrance Republic,1,0,0,1,1,1,1,0,1,0,0,0,0,0
01 04 Magnol'art 3 Fragrance Republic Fragrance Republic,0,0,1,0,0,0,0,1,0,1,0,1,1,0
01 Le Maroc Pour Elle Tauer Perfumes Tauer Perfumes,1,1,1,1,0,0,1,1,0,0,1,1,1,0
01 Red Vanilla Zara Zara,1,0,1,1,0,0,1,1,0,1,1,1,1,0
015 Avon Avon,1,1,1,1,1,0,1,1,1,0,1,1,1,1
015 Sidney Avon Avon,0,1,0,1,1,0,0,0,1,0,1,0,0,0
02 L'Air du Desert Marocain Tauer Perfumes Tauer Perfumes,1,1,1,1,0,0,1,1,1,1,1,1,1,1
02 Owari Odin Odin,1,1,1,1,0,0,1,1,1,0,1,0,0,0
03 Lonestar Memories Tauer Perfumes Tauer Perfumes,0,1,1,1,1,0,1,1,1,1,1,1,1,1
03. Apr. 1968 Rundholz Rundholz,1,0,0,0,0,0,0,1,0,0,1,1,1,0
037 This Is Magic Stradivarius Stradivarius,1,1,1,1,0,0,1,1,1,0,1,0,0,0
04 Reverie au Jardin Tauer Perfumes Tauer Perfumes,1,1,1,1,0,0,1,1,1,1,1,1,1,1
04 Violet Blossom Zara Zara,0,1,1,0,0,1,0,1,0,1,1,1,1,0
